order_id;order_date;product_name;product_type;size;colour;unit_price;description;quantity;customer;gender and age;address
1;2021-8-30;Chambray;Shirt;L;orange;105;A orange coloured, L sized, Chambray Shirt;2;Annabella Devote;Genderfluid,75;4927 Alice MeadowApt. 960, Sanfordborough 7787, South Australia, Australia
1;2021-8-30;Puffer;Jacket;S;indigo;110;A indigo coloured, S sized, Puffer Jacket;1;Annabella Devote;Genderfluid,75;4927 Alice MeadowApt. 960, Sanfordborough 7787, South Australia, Australia
1;2021-8-30;Oxford Cloth;Shirt;M;red;114;A red coloured, M sized, Oxford Cloth Shirt;3;Annabella Devote;Genderfluid,75;4927 Alice MeadowApt. 960, Sanfordborough 7787, South Australia, Australia
1;2021-8-30;Wool;Trousers;M;blue;111;A blue coloured, M sized, Wool Trousers;2;Annabella Devote;Genderfluid,75;4927 Alice MeadowApt. 960, Sanfordborough 7787, South Australia, Australia
1;2021-8-30;Parka;Jacket;S;indigo;119;A indigo coloured, S sized, Parka Jacket;3;Annabella Devote;Genderfluid,75;4927 Alice MeadowApt. 960, Sanfordborough 7787, South Australia, Australia
1;2021-8-30;Wool;Trousers;S;red;111;A red coloured, S sized, Wool Trousers;3;Annabella Devote;Genderfluid,75;4927 Alice MeadowApt. 960, Sanfordborough 7787, South Australia, Australia
2;2021-2-3;Drawstring;Trousers;XS;orange;104;A orange coloured, XS sized, Drawstring Trousers;1;Lori Briars;Male,61;531 Schmitt BoulevardApt. 010, Annaton 1744, South Australia, Australia
2;2021-2-3;Parka;Jacket;S;blue;119;A blue coloured, S sized, Parka Jacket;1;Lori Briars;Male,61;531 Schmitt BoulevardApt. 010, Annaton 1744, South Australia, Australia
2;2021-2-3;Cropped;Trousers;S;orange;99;A orange coloured, S sized, Cropped Trousers;3;Lori Briars;Male,61;531 Schmitt BoulevardApt. 010, Annaton 1744, South Australia, Australia
2;2021-2-3;Pleated;Trousers;S;orange;90;A orange coloured, S sized, Pleated Trousers;1;Lori Briars;Male,61;531 Schmitt BoulevardApt. 010, Annaton 1744, South Australia, Australia
2;2021-2-3;Linen;Shirt;M;green;116;A green coloured, M sized, Linen Shirt;3;Lori Briars;Male,61;531 Schmitt BoulevardApt. 010, Annaton 1744, South Australia, Australia
2;2021-2-3;High-Waisted;Trousers;XL;green;98;A green coloured, XL sized, High-Waisted Trousers;2;Lori Briars;Male,61;531 Schmitt BoulevardApt. 010, Annaton 1744, South Australia, Australia
3;2021-10-8;Dress;Shirt;XL;green;119;A green coloured, XL sized, Dress Shirt;1;Ellynn Korba;Genderqueer,34;2096 Wilson MewsApt. 714, West Jonathanshire 8590, Tasmania, Australia
3;2021-10-8;Oxford Cloth;Shirt;S;orange;114;A orange coloured, S sized, Oxford Cloth Shirt;2;Ellynn Korba;Genderqueer,34;2096 Wilson MewsApt. 714, West Jonathanshire 8590, Tasmania, Australia
3;2021-10-8;Wool;Trousers;XS;violet;111;A violet coloured, XS sized, Wool Trousers;2;Ellynn Korba;Genderqueer,34;2096 Wilson MewsApt. 714, West Jonathanshire 8590, Tasmania, Australia
4;2021-5-6;Relaxed Leg;Trousers;L;green;95;A green coloured, L sized, Relaxed Leg Trousers;1;Candis Roswarne;Non-binary,46;5777 Mayer PassApt. 881, West Michaelport 9728, Tasmania, Australia
4;2021-5-6;High-Waisted;Trousers;XL;indigo;98;A indigo coloured, XL sized, High-Waisted Trousers;3;Candis Roswarne;Non-binary,46;5777 Mayer PassApt. 881, West Michaelport 9728, Tasmania, Australia
4;2021-5-6;Peacoat;Jacket;XL;violet;102;A violet coloured, XL sized, Peacoat Jacket;1;Candis Roswarne;Non-binary,46;5777 Mayer PassApt. 881, West Michaelport 9728, Tasmania, Australia
4;2021-5-6;Drawstring;Trousers;L;yellow;104;A yellow coloured, L sized, Drawstring Trousers;3;Candis Roswarne;Non-binary,46;5777 Mayer PassApt. 881, West Michaelport 9728, Tasmania, Australia
4;2021-5-6;Oxford Cloth;Shirt;M;yellow;114;A yellow coloured, M sized, Oxford Cloth Shirt;2;Candis Roswarne;Non-binary,46;5777 Mayer PassApt. 881, West Michaelport 9728, Tasmania, Australia
5;2021-3-23;Linen;Shirt;L;orange;116;A orange coloured, L sized, Linen Shirt;2;Artemas Vasilischev;Bigender,53;33 Richards JunctionApt. 478, South Rileyview 7650, Western Australia, Australia
5;2021-3-23;Puffer;Jacket;XS;blue;110;A blue coloured, XS sized, Puffer Jacket;2;Artemas Vasilischev;Bigender,53;33 Richards JunctionApt. 478, South Rileyview 7650, Western Australia, Australia
5;2021-3-23;Oxford Cloth;Shirt;S;red;114;A red coloured, S sized, Oxford Cloth Shirt;3;Artemas Vasilischev;Bigender,53;33 Richards JunctionApt. 478, South Rileyview 7650, Western Australia, Australia
5;2021-3-23;Shearling;Jacket;XS;indigo;95;A indigo coloured, XS sized, Shearling Jacket;3;Artemas Vasilischev;Bigender,53;33 Richards JunctionApt. 478, South Rileyview 7650, Western Australia, Australia
5;2021-3-23;Pleated;Trousers;XL;green;90;A green coloured, XL sized, Pleated Trousers;3;Artemas Vasilischev;Bigender,53;33 Richards JunctionApt. 478, South Rileyview 7650, Western Australia, Australia
5;2021-3-23;Coach;Jacket;XS;orange;115;A orange coloured, XS sized, Coach Jacket;3;Artemas Vasilischev;Bigender,53;33 Richards JunctionApt. 478, South Rileyview 7650, Western Australia, Australia
5;2021-3-23;Coach;Jacket;XL;orange;115;A orange coloured, XL sized, Coach Jacket;3;Artemas Vasilischev;Bigender,53;33 Richards JunctionApt. 478, South Rileyview 7650, Western Australia, Australia
5;2021-3-23;Parka;Jacket;XS;violet;119;A violet coloured, XS sized, Parka Jacket;1;Artemas Vasilischev;Bigender,53;33 Richards JunctionApt. 478, South Rileyview 7650, Western Australia, Australia
6;2021-9-9;Dress;Shirt;L;red;119;A red coloured, L sized, Dress Shirt;2;Katusha Ceney;Bigender,49;3570 Sarah AvenueApt. 092, Daughertyport 4505, Queensland, Australia
