"Calling_Number";"Calling_IMEI";"Date";"Heure";"Type";"Duration";"Called_Number";"Called_IMEI";"Forward_Number";"End Time"
"4RU9459URI5";;07/12/2016;09:35:02;"Incoming Call";"00:00:28";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";07.12.2016 09:35:30
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;09:46:00;"Outgoing Call";"00:00:07";"4RU9835RI39";;"4RU9835RI39";07.12.2016 09:46:07
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;09:58:19;"Outgoing Call";"00:05:11";"4R848888UII";;"4R848888UII";07.12.2016 10:03:30
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;10:16:28;"Outgoing Call";"00:00:04";"4RU63928584";;"4RU63928584";07.12.2016 10:16:32
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;10:18:23;"Outgoing Call";"00:03:08";"4R2R644I2RR";;"4R2R644I2RR";07.12.2016 10:21:31
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;10:21:47;"Outgoing Call";"00:00:16";"4RU63928584";;"4RU63928584";07.12.2016 10:22:03
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;11:07:45;"Outgoing Call";"00:00:05";"4RU89R984U4";;"4RU89R984U4";07.12.2016 11:07:50
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;11:29:37;"Outgoing Call";"00:01:32";"4RU89R984U4";;"4RU89R984U4";07.12.2016 11:31:09
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;12:06:40;"Outgoing Call";"00:01:27";"4RU6664U2R8";;"4RU6664U2R8";07.12.2016 12:08:07
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;12:08:43;"Outgoing Call";"00:00:35";"4RU9835RI39";;"4RU9835RI39";07.12.2016 12:09:18
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;12:26:46;"Outgoing Call";"00:00:08";"4RU6664U2R8";;"4RU6664U2R8";07.12.2016 12:26:54
"4RU64I8I242";;07/12/2016;12:31:05;"Forward";"00:00:07";"4RU6664U2R8";;"4RU6664U2R8";
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;12:31:05;"Outgoing Call";"00:00:06";"4RU6664U2R8";;"4RU6664U2R8";07.12.2016 12:31:11
"4R588IIU2";;07/12/2016;13:25:29;"Incoming SMS";"00:00:00";"4RU64I8I242";"353R2RIU44R94RIR";"4RU6598III8";
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;13:50:27;"Outgoing Call";"00:00:52";"4RU88398U84";;"4RU88398U84";07.12.2016 13:51:19
"4RU8U6UI3I3";;07/12/2016;13:57:42;"Incoming Call";"00:00:47";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";07.12.2016 13:58:29
"4RU64I8I242";"353R2RIU44R94RI";07/12/2016;14:42:37;"Outgoing Call";"00:01:45";"4RU89R984U4";;"4RU89R984U4";07.12.2016 14:44:22
"4RU8UU64IUU";;07/12/2016;14:54:21;"Incoming Call";"00:04:09";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";07.12.2016 14:58:30
"4RU8U6UI3I3";;07/12/2016;15:43:43;"Incoming Call";"00:02:00";"4RU64I8I242";"353R2RIU44R94RI";"4RU64I8I242";07.12.2016 15:45:43
